IterationNumber,TermValue,Base4
1,27,123
2,82,1102
3,41,221
4,124,1330
5,62,332
6,31,133
7,94,1132
8,47,233
9,142,2032
10,71,1013
11,214,3112
12,107,1223
13,322,11002
14,161,2201
15,484,13210
16,242,3302
17,121,1321
18,364,11230
19,182,2312
20,91,1123
21,274,10102
22,137,2021
23,412,12130
24,206,3032
25,103,1213
26,310,10312
27,155,2123
28,466,13102
29,233,3221
30,700,22330
31,350,11132
32,175,2233
33,526,20032
34,263,10013
35,790,30112
36,395,12023
37,1186,102202
38,593,21101
39,1780,123310
40,890,31322
41,445,12331
42,1336,110320
43,668,22130
44,334,11032
45,167,2213
46,502,13312
47,251,3323
48,754,23302
49,377,11321
50,1132,101230
51,566,20312
52,283,10123
53,850,31102
54,425,12221
55,1276,103330
56,638,21332
57,319,10333
58,958,32332
59,479,13133
60,1438,112132
61,719,23033
62,2158,201232
63,1079,100313
64,3238,302212
65,1619,121103
66,4858,1023322
67,2429,211331
68,7288,1301320
69,3644,320330
70,1822,130132
71,911,32033
72,2734,222232
73,1367,111113
74,4102,1000012
75,2051,200003
76,6154,1200022
77,3077,300011
78,9232,2100100
79,4616,1020020
80,2308,210010
81,1154,102002
82,577,21001
83,1732,123010
84,866,31202
85,433,12301
86,1300,110110
87,650,22022
88,325,11011
89,976,33100
90,488,13220
91,244,3310
92,122,1322
93,61,331
94,184,2320
95,92,1130
96,46,232
97,23,113
98,70,1012
99,35,203
100,106,1222
101,53,311
102,160,2200
103,80,1100
104,40,220
105,20,110
106,10,22
107,5,11
108,16,100
109,8,20
110,4,10
111,2,2
112,1,1
